target,target_short,candidate,calibration,calibration_fit_molecules,mae_mean,mae_std,rmse_mean,r2_mean,n_seeds
sterimol_B5,B5,sum_pc_Bmax_all,raw,raw_0,0.10815096687602899,0.0016788015625177127,0.11776360406191684,0.9938802068056735,5
sterimol_B5,B5,sum_pc_Bmax_all,huber,5,0.050225346290561745,0.020435080007390683,0.0702156124715299,0.9978152613688709,5
sterimol_B5,B5,sum_pc_Bmax_all,huber,10,0.03730040277921679,0.01567533153156637,0.05786097150467643,0.9985086770259045,5
sterimol_B5,B5,sum_pc_Bmax_all,huber,25,0.030138497730683257,0.0031028641312649523,0.04901448735421878,0.9989150134436369,5
sterimol_B5,B5,sum_pc_Bmax_all,huber,50,0.02920950718126881,0.0027289796331942196,0.04862558720412493,0.9989351596348282,5
sterimol_B5,B5,sum_pc_Bmax_all,huber,100,0.0288195316360656,0.0024433970448030106,0.048643101581902236,0.9989347239773855,5
sterimol_B5,B5,sum_pc_Bmax_all,huber,250,0.028629707492311883,0.002674406340103815,0.04859918178290612,0.9989366594411944,5
sterimol_B5,B5,sum_pc_Bmax_all,huber,500,0.028567109659441113,0.0023614033426328737,0.048589045831443134,0.9989367510688527,5
sterimol_B5,B5,sum_pc_Bmax_all,huber,full,0.02865793791821587,0.0023341811492341544,0.04857317367752954,0.9989376318610168,5
sterimol_L,L,sum_pc_Lpos_all,raw,raw_0,2.581275440924419,0.0019194202726843814,2.582774948970319,-2.496104874895555,5
sterimol_L,L,sum_pc_Lpos_all,huber,5,0.10493380004123434,0.06535302843089266,0.14370275617977704,0.9878934636876728,5
sterimol_L,L,sum_pc_Lpos_all,huber,10,0.06170847393408481,0.00892745609882838,0.09374195601507915,0.9952445379042272,5
sterimol_L,L,sum_pc_Lpos_all,huber,25,0.054924553206846714,0.0035422431435423434,0.08820048548808926,0.9958828249981732,5
sterimol_L,L,sum_pc_Lpos_all,huber,50,0.055105371828009106,0.0029880755658709115,0.08861258496548044,0.9958494266587037,5
sterimol_L,L,sum_pc_Lpos_all,huber,100,0.05272577382941063,0.002825701126368088,0.08787145073093305,0.995913744276175,5
sterimol_L,L,sum_pc_Lpos_all,huber,250,0.052893073020558734,0.002639628614232187,0.08758672257366797,0.9959432509042543,5
sterimol_L,L,sum_pc_Lpos_all,huber,500,0.05278888227402133,0.0022547872793978402,0.08769666584256973,0.9959312585478516,5
sterimol_L,L,sum_pc_Lpos_all,huber,full,0.05301763113616673,0.0025612130763277416,0.08753633379764855,0.9959445525401861,5
sterimol_burB5,BurB5,sum_pc_R4.4_touch_Bmax,raw,raw_0,0.11595864525844704,0.009600886605734457,0.1906330076734545,0.9316764455636706,5
sterimol_burB5,BurB5,sum_pc_R4.4_touch_Bmax,huber,5,0.11472850251488423,0.024608702987083893,0.18517263901500375,0.9351358510090119,5
sterimol_burB5,BurB5,sum_pc_R4.4_touch_Bmax,huber,10,0.0969096061504476,0.009133924713072743,0.17844322086025843,0.9401664246284449,5
sterimol_burB5,BurB5,sum_pc_R4.4_touch_Bmax,huber,25,0.09578253837403236,0.010298106459025864,0.17713754292356634,0.941049978630835,5
sterimol_burB5,BurB5,sum_pc_R4.4_touch_Bmax,huber,50,0.0949378916976207,0.008547916728629656,0.17707333210394915,0.9410277255151905,5
sterimol_burB5,BurB5,sum_pc_R4.4_touch_Bmax,huber,100,0.09430790434213823,0.008959680514383127,0.17698291205474406,0.9411390205531298,5
sterimol_burB5,BurB5,sum_pc_R4.4_touch_Bmax,huber,250,0.09386388937736605,0.010118008064112217,0.17594500242529415,0.9417985561519672,5
sterimol_burB5,BurB5,sum_pc_R4.4_touch_Bmax,huber,500,0.09375358133128323,0.009595477306147073,0.17635774894521872,0.9414886272379445,5
sterimol_burB5,BurB5,sum_pc_R4.4_touch_Bmax,huber,full,0.0937856689691179,0.009670875490054248,0.17611050932211952,0.9416678555047906,5
sterimol_burL,BurL,sum_pc_R2.7_touch_Lpos,raw,raw_0,2.6716064021415638,0.0032872030155882033,2.6751459341212906,-51.42986188333223,5
sterimol_burL,BurL,sum_pc_R2.7_touch_Lpos,isotonic,5,0.12820200902368828,0.04448500299414288,0.21466606543729028,0.648871216899144,5
sterimol_burL,BurL,sum_pc_R2.7_touch_Lpos,isotonic,10,0.10598818423006284,0.03134663932333977,0.18320576188463905,0.7505640670232492,5
sterimol_burL,BurL,sum_pc_R2.7_touch_Lpos,isotonic,25,0.0797871458308024,0.022012902612872715,0.13922028915620654,0.8505867766267133,5
sterimol_burL,BurL,sum_pc_R2.7_touch_Lpos,isotonic,50,0.06758822867840948,0.006575804293704071,0.11282123570699623,0.9068546149521209,5
sterimol_burL,BurL,sum_pc_R2.7_touch_Lpos,isotonic,100,0.06511750717875611,0.002737381885277528,0.11605552494638886,0.901984197171202,5
sterimol_burL,BurL,sum_pc_R2.7_touch_Lpos,isotonic,250,0.06314711247989503,0.0040060275378662686,0.11342718503820963,0.9053341093733357,5
sterimol_burL,BurL,sum_pc_R2.7_touch_Lpos,isotonic,500,0.05913466776437516,0.005119227337341607,0.10189670399634801,0.9228258346255107,5
sterimol_burL,BurL,sum_pc_R2.7_touch_Lpos,isotonic,full,0.056692268793812305,0.004777473528555858,0.09936661098560834,0.9265173503216836,5
