target,target_short,ligand_family,mae_mean,mae_std,rmse_mean,r2_mean,n_seeds,mean_test_molecules_per_seed
sterimol_B5,B5,mixed_aryl_alkyl_ring,0.023582453317440896,0.0014947286166942487,,,5,84.6
sterimol_B5,B5,non_tri_carbon_P,0.03244932660257441,0.0027205515089051887,,,5,44.0
sterimol_B5,B5,non_tri_carbon_P_ring,0.055340598715254076,0.005624596835475151,,,5,61.0
sterimol_B5,B5,trialkyl,0.022360316637422488,0.0022748651066997073,,,5,25.8
sterimol_B5,B5,trialkyl_ring,0.011586548467924689,0.004645231552118234,,,5,15.4
sterimol_B5,B5,triaryl_ring,0.01688869230772392,0.0017118904749849502,,,5,80.2
sterimol_L,L,mixed_aryl_alkyl_ring,0.041130253555714,0.002596467105215802,,,5,84.6
sterimol_L,L,non_tri_carbon_P,0.08268316713401475,0.004126673786622339,,,5,44.0
sterimol_L,L,non_tri_carbon_P_ring,0.10165571605978183,0.004930887145933919,,,5,61.0
sterimol_L,L,trialkyl,0.030805266313634304,0.0033590051837318544,,,5,25.8
sterimol_L,L,trialkyl_ring,0.03369067824395638,0.004633894520961867,,,5,15.4
sterimol_L,L,triaryl_ring,0.022964378229946566,0.0014634835185314437,,,5,80.2
sterimol_burB5,BurB5,mixed_aryl_alkyl_ring,0.11259228097517507,0.012034608466581411,,,5,84.6
sterimol_burB5,BurB5,non_tri_carbon_P,0.08432745134946852,0.0074794105054220425,,,5,44.0
sterimol_burB5,BurB5,non_tri_carbon_P_ring,0.10056599047071209,0.015305201621468176,,,5,61.0
sterimol_burB5,BurB5,trialkyl,0.06937854586552503,0.016342825428458448,,,5,25.8
sterimol_burB5,BurB5,trialkyl_ring,0.08028747097022151,0.02731879107506961,,,5,15.4
sterimol_burB5,BurB5,triaryl_ring,0.08652682608600666,0.021288400160741947,,,5,80.2
sterimol_burL,BurL,mixed_aryl_alkyl_ring,0.04425659822515348,0.005295194699571598,,,5,84.6
sterimol_burL,BurL,non_tri_carbon_P,0.09107894838022207,0.015698865056236234,,,5,44.0
sterimol_burL,BurL,non_tri_carbon_P_ring,0.09144914060917127,0.006496769008845926,,,5,61.0
sterimol_burL,BurL,trialkyl,0.10118429942196842,0.016539308723036845,,,5,25.8
sterimol_burL,BurL,trialkyl_ring,0.038935470750163154,0.01183325508437434,,,5,15.4
sterimol_burL,BurL,triaryl_ring,0.01415320760156229,0.0022178645319997736,,,5,80.2
