target,target_short,stage,candidate,calibration,weight_mode,uses_test_labels_for_prediction,diagnostic_uses_conformer_labels,mae_mean,mae_std,rmse_mean,r2_mean,n_seeds,external_best_mae,relative_gain_vs_external_pct
sterimol_B5,B5,oracle_conformer_labels_boltzmann_all_confs,sterimol_B5_true_conf,none,boltzmann,False,True,0.0003733336572298631,0.0001189129826370453,0.002605310384956987,0.9999967774466384,5,0.191,99.80453735223568
sterimol_B5,B5,raw_formula_boltzmann,sum_pc_Bmax_all,raw,boltzmann,False,False,0.10815096687602899,0.0016788015625177127,0.11776360406191684,0.9938802068056735,5,0.191,43.37645713296912
sterimol_B5,B5,calibrated_formula_boltzmann,sum_pc_Bmax_all,huber,boltzmann,False,False,0.02865793791821587,0.0023341811492341544,0.04857317367752954,0.9989376318610168,5,0.191,84.99584402187651
sterimol_B5,B5,raw_formula_uniform,sum_pc_Bmax_all,raw,uniform,False,False,0.20478798203002907,0.016996015996767876,0.3264595406033587,0.9540999338336557,5,0.191,-7.218838759177522
sterimol_B5,B5,calibrated_formula_uniform,sum_pc_Bmax_all,huber,uniform,False,False,0.1710419783926569,0.014161086840117567,0.3169521287782204,0.956621209475545,5,0.191,10.449225972430948
sterimol_L,L,oracle_conformer_labels_boltzmann_all_confs,sterimol_L_true_conf,none,boltzmann,False,True,0.0003829031614193093,0.00018752082811559706,0.0029491264854250776,0.9999945401374012,5,0.305,99.87445797986253
sterimol_L,L,raw_formula_boltzmann,sum_pc_Lpos_all,raw,boltzmann,False,False,2.581275440924419,0.0019194202726843814,2.582774948970319,-2.496104874895555,5,0.305,-746.3198166965308
sterimol_L,L,calibrated_formula_boltzmann,sum_pc_Lpos_all,huber,boltzmann,False,False,0.05301763113616673,0.0025612130763277416,0.08753633379764855,0.9959445525401861,5,0.305,82.61717011928958
sterimol_L,L,raw_formula_uniform,sum_pc_Lpos_all,raw,uniform,False,False,2.467349105764859,0.02111219260440406,2.5220607979268603,-2.328194809996499,5,0.305,-708.9669199229046
sterimol_L,L,calibrated_formula_uniform,sum_pc_Lpos_all,huber,uniform,False,False,0.32986353739206864,0.02616702535133476,0.5275094560734674,0.8566071437853828,5,0.305,-8.151979472809392
sterimol_burB5,BurB5,oracle_conformer_labels_boltzmann_all_confs,sterimol_burB5_true_conf,none,boltzmann,False,True,0.00017317075516257808,7.049128001321329e-05,0.0012147187775421852,0.9999967718687992,5,0.146,99.88138989372426
sterimol_burB5,BurB5,raw_formula_boltzmann,sum_pc_R4.4_touch_Bmax,raw,boltzmann,False,False,0.11595864525844704,0.009600886605734457,0.1906330076734545,0.9316764455636706,5,0.146,20.576270370926682
sterimol_burB5,BurB5,calibrated_formula_boltzmann,sum_pc_R4.4_touch_Bmax,huber,boltzmann,False,False,0.0937856689691179,0.009670875490054248,0.17611050932211952,0.9416678555047906,5,0.146,35.763240432111026
sterimol_burB5,BurB5,raw_formula_uniform,sum_pc_R4.4_touch_Bmax,raw,uniform,False,False,0.16900355670760536,0.010958269648041644,0.2578215997721389,0.8764272509490507,5,0.146,-15.755860758633816
sterimol_burB5,BurB5,calibrated_formula_uniform,sum_pc_R4.4_touch_Bmax,huber,uniform,False,False,0.15671584146537348,0.011772958590954346,0.2511934473336332,0.8825394732199527,5,0.146,-7.339617442036641
sterimol_burL,BurL,oracle_conformer_labels_boltzmann_all_confs,sterimol_burL_true_conf,none,boltzmann,False,True,9.37875050333465e-05,2.439210571881885e-05,0.0005548494372732774,0.9999976346715318,5,0.0947,99.90096356385075
sterimol_burL,BurL,raw_formula_boltzmann,sum_pc_R2.7_touch_Lpos,raw,boltzmann,False,False,2.6716064021415638,0.0032872030155882033,2.6751459341212906,-51.42986188333223,5,0.0947,-2721.126084626783
sterimol_burL,BurL,calibrated_formula_boltzmann,sum_pc_R2.7_touch_Lpos,isotonic,boltzmann,False,False,0.056692268793812305,0.004777473528555858,0.09936661098560834,0.9265173503216836,5,0.0947,40.134879837579405
sterimol_burL,BurL,raw_formula_uniform,sum_pc_R2.7_touch_Lpos,raw,uniform,False,False,2.596381364037782,0.00359190728795489,2.60834969332464,-48.848078975898254,5,0.0947,-2641.690986312336
sterimol_burL,BurL,calibrated_formula_uniform,sum_pc_R2.7_touch_Lpos,isotonic,uniform,False,False,0.15470140760742368,0.010061697729285106,0.21936602452662388,0.6454981177073981,5,0.0947,-63.359458930753604
