target,target_short,stage,seed,candidate,calibration,weight_mode,mae,rmse,r2,uses_test_labels_for_prediction,diagnostic_uses_conformer_labels
sterimol_B5,B5,oracle_conformer_labels_boltzmann_all_confs,0,sterimol_B5_true_conf,none,boltzmann,0.00041661273117606003,0.0028906444056121055,0.9999966885400312,False,True
sterimol_B5,B5,raw_formula_boltzmann,0,sum_pc_Bmax_all,raw,boltzmann,0.11034617150512056,0.11888217171639201,0.9943990250587098,False,False
sterimol_B5,B5,calibrated_formula_boltzmann,0,sum_pc_Bmax_all,huber,boltzmann,0.025500527733153117,0.04418624424805726,0.9992262434343755,False,False
sterimol_B5,B5,raw_formula_uniform,0,sum_pc_Bmax_all,raw,uniform,0.20324777254387072,0.3102888892615986,0.96184401942802,False,False
sterimol_B5,B5,calibrated_formula_uniform,0,sum_pc_Bmax_all,huber,uniform,0.16656624802892572,0.29428667063967506,0.9656780975319255,False,False
sterimol_B5,B5,oracle_conformer_labels_boltzmann_all_confs,1,sterimol_B5_true_conf,none,boltzmann,0.0004723164758069399,0.0029632840923754,0.9999959256500176,False,True
sterimol_B5,B5,raw_formula_boltzmann,1,sum_pc_Bmax_all,raw,boltzmann,0.10817529255767684,0.11732234746170438,0.9936133481786636,False,False
sterimol_B5,B5,calibrated_formula_boltzmann,1,sum_pc_Bmax_all,huber,boltzmann,0.02811029879522909,0.0463547977285156,0.9990029862835924,False,False
sterimol_B5,B5,raw_formula_uniform,1,sum_pc_Bmax_all,raw,uniform,0.19878782466579736,0.2961003841179628,0.9593191804086428,False,False
sterimol_B5,B5,calibrated_formula_uniform,1,sum_pc_Bmax_all,huber,uniform,0.1675408759111792,0.28699630104729396,0.9617823172314311,False,False
sterimol_B5,B5,oracle_conformer_labels_boltzmann_all_confs,2,sterimol_B5_true_conf,none,boltzmann,0.0001705263197726163,0.0015920461048822543,0.9999991767023182,False,True
sterimol_B5,B5,raw_formula_boltzmann,2,sum_pc_Bmax_all,raw,boltzmann,0.10879094386615991,0.11831019465555906,0.9954533664818176,False,False
sterimol_B5,B5,calibrated_formula_boltzmann,2,sum_pc_Bmax_all,huber,boltzmann,0.02809978731773894,0.048365800561888,0.9992401596139605,False,False
sterimol_B5,B5,raw_formula_uniform,2,sum_pc_Bmax_all,raw,uniform,0.23432667058269893,0.45537448255960544,0.9326429601375357,False,False
sterimol_B5,B5,calibrated_formula_uniform,2,sum_pc_Bmax_all,huber,uniform,0.19557485909058578,0.4524283103189479,0.9335117110208764,False,False
