target,target_short,level,seed,candidate,calibration,cal_mae,test_used_for_selection,selection_scope,mae,rmse,r2
sterimol_B5,B5,L4_32,0,sum_pc_Bmax_all,huber,0.028719734583911718,False,fit_train_only_select_on_cal_then_test_once,0.025500527733153117,0.04418624424805726,0.9992262434343755
sterimol_B5,B5,L4_32,1,sum_pc_Bmax_all,huber,0.022886603733554785,False,fit_train_only_select_on_cal_then_test_once,0.02811029879522909,0.0463547977285156,0.9990029862835924
sterimol_B5,B5,L4_32,2,sum_pc_Bmax_all,huber,0.02963198656180604,False,fit_train_only_select_on_cal_then_test_once,0.02809978731773894,0.048365800561888,0.9992401596139605
sterimol_B5,B5,L4_32,3,sum_pc_Bmax_all,huber,0.02929739817694303,False,fit_train_only_select_on_cal_then_test_once,0.03182043312446976,0.05063940583879735,0.9988098530120813
sterimol_B5,B5,L4_32,4,sum_pc_Bmax_all,huber,0.03451295233793402,False,fit_train_only_select_on_cal_then_test_once,0.029758642620488447,0.053319620010389465,0.9984089169610739
sterimol_L,L,L4_32,0,sum_pc_Lpos_all,ridge_quadratic,0.04750133777022247,False,fit_train_only_select_on_cal_then_test_once,0.05303417721442942,0.08143033391718647,0.9971008416782218
sterimol_L,L,L4_32,1,sum_pc_Lpos_all,huber,0.04423897189781952,False,fit_train_only_select_on_cal_then_test_once,0.05263290331156274,0.08950210623825197,0.9953767830718131
sterimol_L,L,L4_32,2,sum_pc_Lpos_all,ridge_quadratic,0.05924476155972944,False,fit_train_only_select_on_cal_then_test_once,0.05171056479235418,0.08699230483565208,0.9967423448039631
sterimol_L,L,L4_32,3,sum_pc_Lpos_all,ridge_quadratic,0.05503152763778383,False,fit_train_only_select_on_cal_then_test_once,0.05699917443755753,0.08826728382127884,0.9954988140621863
sterimol_L,L,L4_32,4,sum_pc_Lpos_all,huber,0.05167765836913144,False,fit_train_only_select_on_cal_then_test_once,0.05389896273989558,0.09045001937948981,0.9951059991377944
sterimol_burB5,BurB5,L4_32,0,sum_pc_R4.4_touch_Bmax,isotonic,0.08767350645552074,False,fit_train_only_select_on_cal_then_test_once,0.08749269764002002,0.16244660391521015,0.9542711246935668
sterimol_burB5,BurB5,L4_32,1,sum_pc_R4.2_touch_Bmax,huber,0.08459670220120825,False,fit_train_only_select_on_cal_then_test_once,0.10817802777833777,0.1933232012677492,0.9358837740600103
sterimol_burB5,BurB5,L4_32,2,sum_pc_R4.3_touch_Bmax,isotonic,0.07200181760775444,False,fit_train_only_select_on_cal_then_test_once,0.09247667176800911,0.17093208021727252,0.9523791556677312
sterimol_burB5,BurB5,L4_32,3,sum_pc_R4.3_touch_Bmax,ridge_quadratic,0.09361832612272587,False,fit_train_only_select_on_cal_then_test_once,0.08277778485489337,0.16256066911728032,0.9521210472006714
sterimol_burB5,BurB5,L4_32,4,sum_pc_R4.3_touch_Bmax,ridge_quadratic,0.09320667459380765,False,fit_train_only_select_on_cal_then_test_once,0.09102937643230062,0.17038211834055356,0.9293226297294772
sterimol_burL,BurL,L4_32,0,sum_pc_R2.7_touch_Lpos,huber,0.04646106608025963,False,fit_train_only_select_on_cal_then_test_once,0.05527294700079367,0.1292515197780332,0.8860554586717352
sterimol_burL,BurL,L4_32,1,sum_pc_R2.7_touch_Lpos,isotonic,0.053512918497108694,False,fit_train_only_select_on_cal_then_test_once,0.06421278092588802,0.11502651642628112,0.9114098239557066
sterimol_burL,BurL,L4_32,2,sum_pc_R2.7_touch_Lpos,isotonic,0.05901366494422903,False,fit_train_only_select_on_cal_then_test_once,0.0542895455754584,0.09556336117516506,0.9404351458967471
sterimol_burL,BurL,L4_32,3,sum_pc_R2.7_touch_Lpos,isotonic,0.052588536281288165,False,fit_train_only_select_on_cal_then_test_once,0.0536169212448791,0.08791318308176464,0.9409524865349157
sterimol_burL,BurL,L4_32,4,sum_pc_R2.7_touch_Lpos,huber,0.0509803871156057,False,fit_train_only_select_on_cal_then_test_once,0.06389700208372033,0.1487118301474533,0.8020966391970668
