perturbation_type,magnitude,target_short,mae_mean,mae_std,n_seeds
clean,boltzmann_298K,B5,0.02865793791821582,0.00233418114923414,5
clean,boltzmann_298K,BurB5,0.09378566896911786,0.009670875490054241,5
clean,boltzmann_298K,BurL,0.056692268793812284,0.004777473528555853,5
clean,boltzmann_298K,L,0.053017631136166664,0.0025612130763277337,5
energy_noise_kcal_mol_sd,0.05,B5,0.03077214350246461,0.0020651616309679093,5
energy_noise_kcal_mol_sd,0.05,BurB5,0.09398393613826764,0.009761508319232864,5
energy_noise_kcal_mol_sd,0.05,BurL,0.0569055195283019,0.0048032617236954045,5
energy_noise_kcal_mol_sd,0.05,L,0.05551194411416366,0.002133907039883584,5
energy_noise_kcal_mol_sd,0.1,B5,0.03411034891078575,0.0018323210808064857,5
energy_noise_kcal_mol_sd,0.1,BurB5,0.09459287309088789,0.009738469557160226,5
energy_noise_kcal_mol_sd,0.1,BurL,0.057707069418094725,0.004567503566065776,5
energy_noise_kcal_mol_sd,0.1,L,0.06009512349173857,0.0018235267288510852,5
energy_noise_kcal_mol_sd,0.25,B5,0.04624686804223889,0.0020532547748218694,5
energy_noise_kcal_mol_sd,0.25,BurB5,0.09819734091315976,0.009351226023345422,5
energy_noise_kcal_mol_sd,0.25,BurL,0.060515282006986894,0.004008623605480351,5
energy_noise_kcal_mol_sd,0.25,L,0.0773910063071839,0.0030627574420051223,5
energy_noise_kcal_mol_sd,0.5,B5,0.06761422499108993,0.0037814672431824795,5
energy_noise_kcal_mol_sd,0.5,BurB5,0.10630285159292892,0.008822392926112579,5
energy_noise_kcal_mol_sd,0.5,BurL,0.06721574186285376,0.0036830021280266716,5
energy_noise_kcal_mol_sd,0.5,L,0.10930536088324376,0.005907592683312143,5
energy_noise_kcal_mol_sd,1,B5,0.10550703239373456,0.0070428801935424334,5
energy_noise_kcal_mol_sd,1,BurB5,0.12275500451781012,0.008600583462479959,5
energy_noise_kcal_mol_sd,1,BurL,0.0825695646220008,0.003635417622619663,5
energy_noise_kcal_mol_sd,1,L,0.16826929079878356,0.007663805895930986,5
geometry_noise_A_sd,0.01,B5,0.03227375429397221,0.002097707777115762,5
geometry_noise_A_sd,0.01,BurB5,0.09623794777923773,0.010462685953439433,5
geometry_noise_A_sd,0.01,BurL,0.06085171500690523,0.004902957347920413,5
geometry_noise_A_sd,0.01,L,0.05838917224630191,0.0023524324450346686,5
geometry_noise_A_sd,0.03,B5,0.044922382676553754,0.001592077059407447,5
geometry_noise_A_sd,0.03,BurB5,0.10755930809529071,0.010337060019076923,5
geometry_noise_A_sd,0.03,BurL,0.08049314999478191,0.004008339426581703,5
geometry_noise_A_sd,0.03,L,0.08013955868689863,0.0022105721702364196,5
geometry_noise_A_sd,0.05,B5,0.060682934702944016,0.0015588890076881586,5
geometry_noise_A_sd,0.05,BurB5,0.13147434839293698,0.007260311623831101,5
geometry_noise_A_sd,0.05,BurL,0.1069853032431664,0.004262450048956534,5
geometry_noise_A_sd,0.05,L,0.11021431253064295,0.003111913748958792,5
geometry_noise_A_sd,0.1,B5,0.10524333505225067,0.003693268048792313,5
geometry_noise_A_sd,0.1,BurB5,0.18781935107795975,0.0033229581020776775,5
geometry_noise_A_sd,0.1,BurL,0.16947182649394177,0.003793871460443085,5
geometry_noise_A_sd,0.1,L,0.19904009532018155,0.0061146641559965825,5
temperature_K,250,B5,0.03873754799585634,0.0018038817924172343,5
temperature_K,250,BurB5,0.09483759175602653,0.009492034457925609,5
temperature_K,250,BurL,0.05678968878335786,0.004460111353608943,5
temperature_K,250,L,0.06343499420516183,0.001854238553507176,5
temperature_K,273.15,B5,0.03291615151170908,0.0019466694610239285,5
temperature_K,273.15,BurB5,0.09392000583540619,0.009519521452471051,5
temperature_K,273.15,BurL,0.05610271927160104,0.0047785534687875605,5
temperature_K,273.15,L,0.0565575238231986,0.002386822249963295,5
temperature_K,298.15,B5,0.02865793791821582,0.0023341811492342134,5
temperature_K,298.15,BurB5,0.09378566896911776,0.009670875490054262,5
temperature_K,298.15,BurL,0.05669226879381204,0.00477747352855591,5
temperature_K,298.15,L,0.053017631136166664,0.002561213076327777,5
temperature_K,323.15,B5,0.03108069678303202,0.0023587698389139545,5
temperature_K,323.15,BurB5,0.09433902368837915,0.009702096276352986,5
temperature_K,323.15,BurL,0.05776939375934268,0.0051446039707284,5
temperature_K,323.15,L,0.05738852970471632,0.002106583724147368,5
temperature_K,350,B5,0.03567485138372674,0.002376167905790342,5
temperature_K,350,BurB5,0.09554803493204536,0.009647321309408343,5
temperature_K,350,BurL,0.059066598495939523,0.0049744558552602715,5
temperature_K,350,L,0.06409897065232359,0.002407070450535522,5
temperature_K,400,B5,0.044290904727350776,0.0028487970028065568,5
temperature_K,400,BurB5,0.09833296286874352,0.009521008380303527,5
temperature_K,400,BurL,0.06105254836792941,0.005036425988375963,5
temperature_K,400,L,0.07703906996247052,0.0033373519427088542,5
