dataset,target,seed,split_mode,method,level,avg_cost_seconds,candidate,calibration,cal_mae,cal_rmse,cal_r2,mae,rmse,r2,n_train,n_cal,n_test,property,best_literature_mae
kraken_sterimol_B5,sterimol_B5,0,random,axis_formula,L4_32,32.0,sum_pc_Bmax_all,huber,0.0287197345839117,0.0449551323368828,0.9987938823166582,0.0255005277331531,0.0441862442480572,0.9992262434343756,1086,155,311,B5,0.191
kraken_sterimol_B5,sterimol_B5,1,random,axis_formula,L4_32,32.0,sum_pc_Bmax_all,huber,0.0228866037335547,0.0347917516489502,0.999363051137374,0.028110298795229,0.0463547977285156,0.9990029862835924,1086,155,311,B5,0.191
kraken_sterimol_B5,sterimol_B5,2,random,axis_formula,L4_32,32.0,sum_pc_Bmax_all,huber,0.029631986561806,0.0491121491862999,0.9986932694100972,0.0280997873177389,0.048365800561888,0.9992401596139604,1086,155,311,B5,0.191
kraken_sterimol_B5,sterimol_B5,3,random,axis_formula,L4_32,32.0,sum_pc_Bmax_all,huber,0.029297398176943,0.0534999455457186,0.9985000459625026,0.0318204331244697,0.0506394058387973,0.9988098530120813,1086,155,311,B5,0.191
kraken_sterimol_B5,sterimol_B5,4,random,axis_formula,L4_32,32.0,sum_pc_Bmax_all,huber,0.034512952337934,0.0585532585389521,0.9982566470209998,0.0297586426204884,0.0533196200103894,0.998408916961074,1086,155,311,B5,0.191
kraken_sterimol_burB5,sterimol_burB5,0,random,axis_formula,L4_32,32.0,sum_pc_R4.4_touch_Bmax,huber,0.0924052346545663,0.175082978565101,0.9486845643421588,0.0835466796809178,0.1621662354566615,0.9544288364594428,1086,155,311,BurB5-huber,0.146
kraken_sterimol_burB5,sterimol_burB5,1,random,axis_formula,L4_32,32.0,sum_pc_R4.4_touch_Bmax,huber,0.0984188440880907,0.2368732637672625,0.9154166158461552,0.1094851157000203,0.2014348768064301,0.9303903694041056,1086,155,311,BurB5-huber,0.146
kraken_sterimol_burB5,sterimol_burB5,2,random,axis_formula,L4_32,32.0,sum_pc_R4.4_touch_Bmax,huber,0.0824649749043314,0.1740998098392008,0.9436965471654996,0.0910271179312576,0.1599586717628354,0.958297171321624,1086,155,311,BurB5-huber,0.146
kraken_sterimol_burB5,sterimol_burB5,3,random,axis_formula,L4_32,32.0,sum_pc_R4.4_touch_Bmax,huber,0.0959381763265636,0.1646958663467249,0.9614407333810362,0.0900332528024326,0.1809430707765569,0.9406804839187216,1086,155,311,BurB5-huber,0.146
kraken_sterimol_burB5,sterimol_burB5,4,random,axis_formula,L4_32,32.0,sum_pc_R4.4_touch_Bmax,huber,0.0954255642608291,0.188601099800328,0.9391556827393857,0.094836178730961,0.1760496918081136,0.9245424164200586,1086,155,311,BurB5-huber,0.146
kraken_sterimol_burB5,sterimol_burB5,0,random,axis_formula,L4_32,32.0,sum_pc_R4.4_touch_Bmax,isotonic,0.0876735064555207,0.1599347377584604,0.9571800877698896,0.08749269764002,0.1624466039152101,0.9542711246935668,1086,155,311,BurB5-isotonic,0.146
kraken_sterimol_burB5,sterimol_burB5,1,random,axis_formula,L4_32,32.0,sum_pc_R4.4_touch_Bmax,isotonic,0.1007158828848626,0.2254973062324971,0.923345847657104,0.1098633458095988,0.1954406038126828,0.9344715966843736,1086,155,311,BurB5-isotonic,0.146
kraken_sterimol_burB5,sterimol_burB5,2,random,axis_formula,L4_32,32.0,sum_pc_R4.4_touch_Bmax,isotonic,0.0809553648118661,0.1560368176976369,0.9547735390859666,0.0924395192497357,0.1579941941582016,0.9593151994116405,1086,155,311,BurB5-isotonic,0.146
