property,target,split_mode,weight_mode,level,candidate,calibration,best_literature_mae,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,cal_mae_mean,cal_mae_std,relative_gain_vs_best_literature_pct
B5,sterimol_B5,random,boltzmann,L2,sum_pc_Bmax_all,huber,0.191,0.16207273047381848,0.01034278106092822,0.328180660814624,0.028145784038097744,0.9528937688373649,0.00850115158725406,0.1470263818433099,0.01796382676810412,15.145167291194515
B5,sterimol_B5,random,boltzmann,L3_4,sum_pc_Bmax_all,huber,0.191,0.060753540012913124,0.00671054280368169,0.12098213570194596,0.023867574942247786,0.9936496279572131,0.0015665596944896955,0.05463951816855406,0.00994186085636521,68.19186386758476
B5,sterimol_B5,random,boltzmann,L3_8,sum_pc_Bmax_all,huber,0.191,0.0401932836140079,0.003279815280455951,0.06913485769705283,0.005391693834897244,0.9978757642193707,0.0005681217045421735,0.03692083260654023,0.006372998079503133,78.95639601360843
B5,sterimol_B5,random,boltzmann,L4_32,sum_pc_Bmax_all,huber,0.191,0.02865793791821587,0.0023341811492341544,0.04857317367752954,0.003570973726254552,0.9989376318610168,0.0003445858970507272,0.029009735078829917,0.004133164191195621,84.99584402187651
BurB5,sterimol_burB5,random,boltzmann,L2,sum_pc_R4.4_touch_Bmax,huber,0.146,0.1430355715295167,0.005487356877463984,0.23722745689349925,0.006780498663531564,0.8948021256473743,0.020371644528477735,0.15384792607744685,0.0060061096325329175,2.030430459235125
BurB5,sterimol_burB5,random,boltzmann,L3_4,sum_pc_R4.4_touch_Bmax,huber,0.146,0.10274959397299246,0.00838701465455828,0.1817113580744492,0.0157358654360007,0.9378465844098081,0.01565491883729712,0.10497184983466379,0.003538954932019539,29.623565771922966
BurB5,sterimol_burB5,random,boltzmann,L3_8,sum_pc_R4.4_touch_Bmax,huber,0.146,0.09635172811145654,0.009527612896062097,0.1771507775559731,0.01656628181594726,0.9410084974103207,0.014641224047772307,0.09583428704634744,0.005579395048237453,34.005665677084565
BurB5,sterimol_burB5,random,boltzmann,L4_32,sum_pc_R4.4_touch_Bmax,huber,0.146,0.09378566896911789,0.009670875490054248,0.17611050932211955,0.016733242121879197,0.9416678555047906,0.0146698162795752,0.09293055884687626,0.006228894415829043,35.76324043211103
BurL,sterimol_burL,random,boltzmann,L2,sum_pc_R2.7_touch_Lpos,isotonic,0.0947,0.0871657420381666,0.005902272712025188,0.1428643864572206,0.011727780043696871,0.8504897107224301,0.025509851866606918,0.09267117608690593,0.011325282325449151,7.955921818197894
BurL,sterimol_burL,random,boltzmann,L3_4,sum_pc_R2.7_touch_Lpos,isotonic,0.0947,0.0635799139657087,0.0025457329628624558,0.10822576283058091,0.007189319926295528,0.9130013059145666,0.02276040326903088,0.06420017679313503,0.008173743548086563,32.86175927591479
BurL,sterimol_burL,random,boltzmann,L3_8,sum_pc_R2.7_touch_Lpos,isotonic,0.0947,0.05929080300536906,0.003836228166756319,0.10261085288062041,0.009664949930809167,0.9217371726889286,0.02196222647160326,0.06014204868701182,0.006290571610726684,37.39091551703373
BurL,sterimol_burL,random,boltzmann,L4_32,sum_pc_R2.7_touch_Lpos,isotonic,0.0947,0.05669226879381232,0.004777473528555858,0.09936661098560833,0.011792193050306238,0.9265173503216836,0.0220500144782803,0.05476561347160366,0.005562492014329795,40.1348798375794
L,sterimol_L,random,boltzmann,L2,sum_pc_Lpos_all,huber,0.305,0.2181141425646976,0.014906038550602513,0.3941931236982426,0.03960016380211177,0.9190323801609024,0.013579991360628839,0.2059436347829883,0.030047865539262694,28.487166372230295
L,sterimol_L,random,boltzmann,L3_4,sum_pc_Lpos_all,huber,0.305,0.09441980947786913,0.003029432240502325,0.1693395517391308,0.01375451858861292,0.9848947670674211,0.003570809390996569,0.08333597826425723,0.016623373153772793,69.04268541709209
L,sterimol_L,random,boltzmann,L3_8,sum_pc_Lpos_all,huber,0.305,0.06890714103536813,0.004978820560073107,0.11535678886797182,0.017728683656462553,0.9927732245460144,0.0030862795452905488,0.06325362040794223,0.009521958591012026,77.40749474250225
L,sterimol_L,random,boltzmann,L4_32,sum_pc_Lpos_all,huber,0.305,0.05301763113616673,0.0025612130763277424,0.08753633379764855,0.0035123247537786565,0.9959445525401861,0.0009030181386661524,0.0517542837685951,0.006120888563771612,82.61717011928958
