property,conformer_count_bucket,mae_mean,mae_std,n_test_mean,n_test_std,n_source_confs_mean_mean,n_source_confs_mean_std
B5,Q1_few_confs,0.0368822727703402,0.005380862078545277,93.4,5.941380311005179,1.7589460846375082,0.07468789593311016
B5,Q2,0.029617974031008253,0.005411956073458058,64.0,3.391164991562634,5.611677028266264,0.21677792841587268
B5,Q3,0.02677623548599923,0.0028524101445472822,76.4,6.426507605223849,14.833501268902513,0.2627797600468574
B5,Q4_many_confs,0.019766982291232815,0.0010145445904870575,77.2,3.898717737923586,34.591745263587455,0.8879199149152479
BurB5,Q1_few_confs,0.07469576831105278,0.019596154201495845,93.4,5.941380311005179,1.7589460846375082,0.07468789593311016
BurB5,Q2,0.0958980551960786,0.006830113426103122,64.0,3.391164991562634,5.611677028266264,0.21677792841587268
BurB5,Q3,0.10492769099333829,0.009369980482377511,76.4,6.426507605223849,14.833501268902513,0.2627797600468574
BurB5,Q4_many_confs,0.10412231307594037,0.01965337359919334,77.2,3.898717737923586,34.591745263587455,0.8879199149152479
BurL,Q1_few_confs,0.06012663994740834,0.004495780894244442,93.4,5.941380311005179,1.7589460846375082,0.07468789593311016
BurL,Q2,0.04603615410059517,0.004156357187028688,64.0,3.391164991562634,5.611677028266264,0.21677792841587268
BurL,Q3,0.05248745796006138,0.007582274779439099,76.4,6.426507605223849,14.833501268902513,0.2627797600468574
BurL,Q4_many_confs,0.0658427739591834,0.009250426142472238,77.2,3.898717737923586,34.591745263587455,0.8879199149152479
L,Q1_few_confs,0.0653648344168854,0.004883197776487309,93.4,5.941380311005179,1.7589460846375082,0.07468789593311016
L,Q2,0.04651333076716491,0.007768619874379169,64.0,3.391164991562634,5.611677028266264,0.21677792841587268
L,Q3,0.05232913814587379,0.005712191628320675,76.4,6.426507605223849,14.833501268902513,0.2627797600468574
L,Q4_many_confs,0.04425720181811776,0.006505649085506271,77.2,3.898717737923586,34.591745263587455,0.8879199149152479
