baseline_group,method,technical_route,source_table,provenance,n_seeds_reported,B5_mae,B5_std,L_mae,L_std,BurB5_mae,BurB5_std,BurL_mae,BurL_std,protocol_note
classic,RF,1D fingerprint,MolMix Table 1,original_paper_reported,5.0,0.476,0.004,0.43,0.009,0.275,0.018,0.152,0.014,Kraken/MARCEL split as reported by the source paper
classic,LSTM,1D SMILES,MolMix Table 1,original_paper_reported,5.0,0.487,0.028,0.514,0.041,0.281,0.004,0.192,0.002,Kraken/MARCEL split as reported by the source paper
same_task_sota,GIN,2D GNN,MolMix Table 1,original_paper_reported,5.0,0.313,0.026,0.4,0.034,0.172,0.003,0.12,0.004,Kraken/MARCEL split as reported by the source paper
same_task_sota,ChemProp,2D directed MPNN,MolMix Table 1,original_paper_reported,5.0,0.485,0.007,0.545,0.045,0.3,0.009,0.195,0.014,Kraken/MARCEL split as reported by the source paper
same_task_sota,GraphGPS,2D graph transformer,MolMix Table 1,original_paper_reported,5.0,0.345,0.032,0.436,0.013,0.207,0.012,0.15,0.014,Kraken/MARCEL split as reported by the source paper
same_task_sota,DimeNet++,3D GNN,MolMix Table 1,original_paper_reported,5.0,0.351,0.011,0.417,0.04,0.21,0.016,0.153,0.007,Kraken/MARCEL split as reported by the source paper
same_task_sota,GemNet,3D GNN,MolMix Table 1,original_paper_reported,5.0,0.279,0.013,0.375,0.009,0.178,0.01,0.164,0.006,Kraken/MARCEL split as reported by the source paper
same_task_sota,LEFTNet,3D GNN,MolMix Table 1,original_paper_reported,5.0,0.307,0.001,0.449,0.026,0.218,0.001,0.149,0.01,Kraken/MARCEL split as reported by the source paper
direct_mechanism,Multimodal-GemNet,multimodal conformer aggregation,MolMix Table 1,original_paper_reported,5.0,0.231,0.003,0.339,0.027,0.159,0.007,0.095,0.001,Kraken/MARCEL split as reported by the source paper
direct_mechanism,Multimodal-PaiNN,multimodal conformer aggregation,MolMix Table 1,original_paper_reported,5.0,0.223,0.022,0.362,0.019,0.169,0.011,0.132,0.009,Kraken/MARCEL split as reported by the source paper
direct_mechanism,MolMix,joint 1D/2D/3D multimodal mixing,MolMix Table 1,original_paper_reported,5.0,0.191,0.017,0.305,0.02,0.146,0.002,0.121,0.005,Kraken/MARCEL split as reported by the source paper
direct_mechanism,FACET-GemNet,fragment-aware conformer aggregation,FACET Table 4,original_paper_reported,,0.2225,,0.3402,,0.1503,,0.0952,,Kraken/MARCEL split as reported by the source paper
