dataset,target,seed,split_mode,method,level,avg_cost_seconds,candidate,calibration,cal_mae,cal_rmse,cal_r2,mae,rmse,r2,n_train,n_cal,n_test,property,best_literature_mae
kraken_sterimol_B5,sterimol_B5,0,scaffold,axis_formula,L4_32,32.0,sum_pc_Bmax_all,huber,0.0285089578047103,0.0471442591001077,0.9992038232002192,0.0246637409967724,0.043580556568768,0.9992160531537646,1086,155,311,B5,0.191
kraken_sterimol_B5,sterimol_B5,1,scaffold,axis_formula,L4_32,32.0,sum_pc_Bmax_all,huber,0.0268870846011325,0.0442835751043248,0.9990474099006572,0.0284027603791909,0.0508910847266149,0.9990978918205397,1086,155,311,B5,0.191
kraken_sterimol_B5,sterimol_B5,2,scaffold,axis_formula,L4_32,32.0,sum_pc_Bmax_all,huber,0.0287551317411132,0.0535919666995323,0.9989361759889424,0.0265414612082838,0.0461132593743021,0.999126164406382,1086,155,311,B5,0.191
kraken_sterimol_B5,sterimol_B5,3,scaffold,axis_formula,L4_32,32.0,sum_pc_Bmax_all,huber,0.0273524148671173,0.046758830825949,0.9992174782172304,0.0276164120406397,0.0506547088120447,0.9990349454174096,1086,155,311,B5,0.191
kraken_sterimol_B5,sterimol_B5,4,scaffold,axis_formula,L4_32,32.0,sum_pc_Bmax_all,huber,0.0315594801461697,0.0584690883145143,0.9985878850161006,0.0260407529802022,0.0440619055219388,0.9992644959250548,1086,155,311,B5,0.191
kraken_sterimol_burB5,sterimol_burB5,0,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.2_touch_Bmax,ridge_quadratic,0.1097834567066654,0.2103651720120493,0.9502417740253364,0.0989625224073578,0.1937262591019735,0.9606759865617692,1086,155,311,BurB5-R4.2-ridge2,0.146
kraken_sterimol_burB5,sterimol_burB5,1,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.2_touch_Bmax,ridge_quadratic,0.0928785375731036,0.177314656473571,0.9595492394563386,0.1126738698618187,0.2100219530607984,0.9564349635434788,1086,155,311,BurB5-R4.2-ridge2,0.146
kraken_sterimol_burB5,sterimol_burB5,2,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.2_touch_Bmax,ridge_quadratic,0.0903711049384125,0.2059916529213718,0.9646215092817598,0.1121663424096212,0.1948013200803492,0.9525530723714988,1086,155,311,BurB5-R4.2-ridge2,0.146
kraken_sterimol_burB5,sterimol_burB5,3,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.2_touch_Bmax,ridge_quadratic,0.0987273244280314,0.1751160173493499,0.9722747441987368,0.1067674781250557,0.2100284314759309,0.9524468938854468,1086,155,311,BurB5-R4.2-ridge2,0.146
kraken_sterimol_burB5,sterimol_burB5,4,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.2_touch_Bmax,ridge_quadratic,0.100332695490304,0.1643664587227138,0.9684509800099736,0.1048201333175869,0.2088794882258215,0.954024217264618,1086,155,311,BurB5-R4.2-ridge2,0.146
kraken_sterimol_burB5,sterimol_burB5,0,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.3_touch_Bmax,ridge_quadratic,0.1054499542100791,0.19553388879999,0.9570106098883232,0.1048024034212264,0.209230627974627,0.9541297223974124,1086,155,311,BurB5-R4.3-ridge2,0.146
kraken_sterimol_burB5,sterimol_burB5,1,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.3_touch_Bmax,ridge_quadratic,0.0948016350808136,0.1852678269370549,0.9558391487150938,0.1094892873448862,0.2122162544242055,0.9555198763061142,1086,155,311,BurB5-R4.3-ridge2,0.146
kraken_sterimol_burB5,sterimol_burB5,2,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.3_touch_Bmax,ridge_quadratic,0.0910949564418869,0.1999113549870648,0.9666792335823672,0.110110199737109,0.1992040039873754,0.9503841505369548,1086,155,311,BurB5-R4.3-ridge2,0.146
kraken_sterimol_burB5,sterimol_burB5,3,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.3_touch_Bmax,ridge_quadratic,0.1046373692847936,0.207339109637126,0.9611325295403852,0.0988682040735145,0.194595150586715,0.959178708736535,1086,155,311,BurB5-R4.3-ridge2,0.146
